810673865;16
743105688;15
606100377;14
732539708;14
743019646;14
732033195;14
500751919;13
743186333;12
608177696;12
743185950;12
743186097;12
731020202;12
731559255;12
500770405;12
<<<<<<< HEAD
743185920;12
732645184;12
743185584;12
600230009;12
=======
743185584;12
743185920;12
600230009;12
732645184;12
>>>>>>> 7b44bab344e46bc0b34d1221abf9924932b8714b
732563697;12
743185870;11
743186127;11
810673865;11
743565979;10
810539115;10
743186067;10
743185952;10
501507555;10
743019910;10
732642085;10
500262918;10
500561547;10
600112272;10
400009792;10
604884959;10
743185979;9
712678707;9
712339421;9
712678597;9
600192550;9
743140960;9
743140974;9
700256398;9
743185874;9
743185918;9
604321869;9
600041407;9
501387833;9
606594777;9
732645334;8
731020202;8
711025363;7
802037260;7
731701634;6
743186025;6
501408688;6
743057463;6
501080512;6
732192089;6
743185967;5
201766694;5
100107161;5
501408688;5
743057463;5
743186061;5
608258509;5
732340306;5
812084551;5
811375114;5
732448639;5
743141209;5
731452679;5
501080512;5
732192089;5
602824117;5
<<<<<<< HEAD
606100377;5
743019646;5
802025753;5
=======
802025753;5
606100377;5
743019646;5
>>>>>>> 7b44bab344e46bc0b34d1221abf9924932b8714b
743185862;4
731679311;4
743185925;4
100068026;4
606191738;4
732642022;4
743185953;4
743186265;4
606201420;4
743104287;4
602842530;4
<<<<<<< HEAD
100068035;4
=======
>>>>>>> 7b44bab344e46bc0b34d1221abf9924932b8714b
743141270;4
604021670;4
731559353;4
14752163;4
<<<<<<< HEAD
=======
100068035;4
>>>>>>> 7b44bab344e46bc0b34d1221abf9924932b8714b
732192345;4
732234302;3
500069127;2
604150223;2
743565979;2
743185385;2
743185886;2
810539115;2
743186067;2
743185952;2
743185920;2
501507555;2
16602813;2
743185900;2
743019910;2
732642085;2
100068035;2
743186111;2
731508984;2
606090147;2
732192145;2
500262918;2
606558989;2
732579116;2
732578930;2
732448688;2
501217962;2
811381926;2
606380724;2
500048691;2
732645184;2
732137576;2
501631093;2
602218702;2
743105653;2
743057283;2
743105720;2
712252412;2
743141300;2
500561547;2
600112272;2
743141181;2
400009792;2
732301158;2
604884959;2
608298259;2
<<<<<<< HEAD
743105688;2
732539708;2
732033195;2
731701634;2
732340306;2
100106783;2
811542404;2
732563697;2
606205619;2
732137799;2
=======
100106783;2
811542404;2
732539708;2
732563697;2
606205619;2
743105688;2
732340306;2
732033195;2
732137799;2
731701634;2
>>>>>>> 7b44bab344e46bc0b34d1221abf9924932b8714b
606100377;2
501080512;2
732192345;2
802025753;1
743141270;1
604021670;1
731559353;1
743185584;1
100106783;1
811542404;1
600230009;1
732563697;1
14752163;1
606205619;1
802037260;1
732192345;1
810673865;1
732137799;1
<<<<<<< HEAD
731559255;1
732645334;1
711025363;1
201766694;1
812084551;1
732448639;1
731452679;1
743185862;1
731679311;1
743185925;1
100068026;1
606191738;1
732642022;1
743185953;1
743186265;1
606201420;1
743104287;1
602842530;1
500069127;1
743185385;1
743185886;1
16602813;1
743185900;1
731508984;1
606090147;1
732192145;1
732579116;1
732578930;1
732448688;1
501217962;1
811381926;1
606380724;1
500048691;1
=======
500069127;1
743185862;1
743185385;1
731679311;1
743185886;1
743185925;1
201766694;1
100068026;1
606191738;1
732642022;1
16602813;1
743185953;1
743186265;1
743185900;1
731508984;1
606201420;1
606090147;1
732192145;1
812084551;1
732579116;1
732578930;1
732448639;1
732448688;1
731452679;1
501217962;1
811381926;1
606380724;1
711025363;1
732645334;1
500048691;1
743104287;1
731559255;1
>>>>>>> 7b44bab344e46bc0b34d1221abf9924932b8714b
501631093;1
602218702;1
743105720;1
743141181;1
<<<<<<< HEAD
732301158;1
608298259;1
743105688;1
732539708;1
743019646;1
732033195;1
731020202;1
=======
602842530;1
732301158;1
608298259;1
732539708;1
743105688;1
731020202;1
743019646;1
732033195;1
>>>>>>> 7b44bab344e46bc0b34d1221abf9924932b8714b
